"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer._","Answer.confAnswer0","Answer.confAnswer1","Answer.confAnswer10","Answer.confAnswer2","Answer.confAnswer3","Answer.confAnswer4","Answer.confAnswer5","Answer.confAnswer6","Answer.confAnswer7","Answer.confAnswer8","Answer.confAnswer9","Answer.confidenceTime0","Answer.confidenceTime1","Answer.confidenceTime10","Answer.confidenceTime2","Answer.confidenceTime3","Answer.confidenceTime4","Answer.confidenceTime5","Answer.confidenceTime6","Answer.confidenceTime7","Answer.confidenceTime8","Answer.confidenceTime9","Answer.estimAnswer0","Answer.estimAnswer1","Answer.estimAnswer10","Answer.estimAnswer2","Answer.estimAnswer3","Answer.estimAnswer4","Answer.estimAnswer5","Answer.estimAnswer6","Answer.estimAnswer7","Answer.estimAnswer8","Answer.estimAnswer9","Answer.estimationTime0","Answer.estimationTime1","Answer.estimationTime10","Answer.estimationTime2","Answer.estimationTime3","Answer.estimationTime4","Answer.estimationTime5","Answer.estimationTime6","Answer.estimationTime7","Answer.estimationTime8","Answer.estimationTime9","Answer.opinion0","Answer.opinion1","Answer.opinion10","Answer.opinion2","Answer.opinion3","Answer.opinion4","Answer.opinion5","Answer.opinion6","Answer.opinion7","Answer.opinion8","Answer.opinion9","Answer.orig_index0","Answer.orig_index1","Answer.orig_index10","Answer.orig_index2","Answer.orig_index3","Answer.orig_index4","Answer.orig_index5","Answer.orig_index6","Answer.orig_index7","Answer.orig_index8","Answer.orig_index9","Answer.reactionTimeAnswer0","Answer.reactionTimeAnswer1","Answer.reactionTimeAnswer10","Answer.reactionTimeAnswer2","Answer.reactionTimeAnswer3","Answer.reactionTimeAnswer4","Answer.reactionTimeAnswer5","Answer.reactionTimeAnswer6","Answer.reactionTimeAnswer7","Answer.reactionTimeAnswer8","Answer.reactionTimeAnswer9","Answer.realFakeTime0","Answer.realFakeTime1","Answer.realFakeTime10","Answer.realFakeTime2","Answer.realFakeTime3","Answer.realFakeTime4","Answer.realFakeTime5","Answer.realFakeTime6","Answer.realFakeTime7","Answer.realFakeTime8","Answer.realFakeTime9","Answer.startTime0","Answer.startTime1","Answer.startTime10","Answer.startTime2","Answer.startTime3","Answer.startTime4","Answer.startTime5","Answer.startTime6","Answer.startTime7","Answer.startTime8","Answer.startTime9","Answer.validAnswer0","Answer.validAnswer1","Answer.validAnswer10","Answer.validAnswer2","Answer.validAnswer3","Answer.validAnswer4","Answer.validAnswer5","Answer.validAnswer6","Answer.validAnswer7","Answer.validAnswer8","Answer.validAnswer9","Answer.validationTime0","Answer.validationTime1","Answer.validationTime10","Answer.validationTime2","Answer.validationTime3","Answer.validationTime4","Answer.validationTime5","Answer.validationTime6","Answer.validationTime7","Answer.validationTime8","Answer.validationTime9","Approve","Reject"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","304SM51WA4P6EOU2ID68HCTUTK8SB0","A39GADIK8RLMVC","Approved","Tue Jun 19 10:38:26 PDT 2018","Tue Jun 19 11:40:13 PDT 2018","Tue Jun 19 12:40:13 PDT 2018","2018-06-19 19:41:00 UTC","","","3707","100% (1/1)","100% (1/1)","100% (1/1)","{}","90","85","90","80","90","80","70","80","70","90","80","1529433351172","1529433244857","1529433057177","1529433616262","1529433376545","1529433226000","1529433424160","1529433582570","1529433592635","1529433456521","1529433511277","70","70","60","65","60","60","60","60","60","80","50","1529433352223","1529433246616","1529433058321","1529433648359","1529433377858","1529433226224","1529433424354","1529433583671","1529433594071","1529433457950","1529433512617","-1","1","-1","1","1","-1","-1","-1","-1","1","1","10","19","87","51","53","55","70","71","72","81","82","17072","105687","162382","41855","52632","32809","27183","15528","18392","57944","72743","1529433350734","1529433244415","1529433051944","1529433610071","1529433375965","1529433223552","1529433419359","1529433582167","1529433592087","1529433456064","1529433510743","1529433347317","1529433241630","1529433046438","1529433608813","1529433364389","1529433208820","1529433417022","1529433574893","1529433590421","1529433444206","1529433502150","grapefruit","banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529433364326","1529433345486","1529433206875","1529433648376","1529433372386","1529433226711","1529433444133","1529433583991","1529433594575","1529433502083","1529433573412"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","317HQ483I8DJLJG3GRH345N11BKNIS","A1RSDFFZIVE5BO","Approved","Tue Jun 19 10:38:29 PDT 2018","Tue Jun 19 11:12:15 PDT 2018","Tue Jun 19 12:12:15 PDT 2018","2018-06-19 19:13:00 UTC","","","2026","100% (2/2)","100% (1/1)","100% (1/1)","{}","50","65","50","50","50","50","90","50","90","50","50","1529430766297","1529430137749","1529430471459","1529431504160","1529431767278","1529431911532","1529430230181","1529431712837","1529431630445","1529430707336","1529430995556","50","20","50","20","30","50","50","50","10","30","30","1529430769433","1529430145064","1529430453041","1529431507376","1529431770175","1529431914398","1529430233537","1529431716482","1529431635760","1529430709713","1529430998270","-1","-1","-1","-1","-1","1","1","-1","-1","1","1","10","19","87","51","53","55","70","71","72","81","82","67880","175051","204596","517299","50213","147648","62432","90386","112649","244325","225147","1529430765104","1529430136757","1529430448865","1529431502628","1529431766480","1529431910589","1529430229158","1529431711982","1529431629267","1529430706209","1529430994667","1529430718580","1529430032175","1529430269658","1529431011609","1529431731944","1529431782158","1529430207226","1529431641557","1529431528908","1529430474254","1529430786460","grapefruit","banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529430781940","1529430199966","1529430457213","1529431525681","1529431777485","1529431921928","1529430266437","1529431728712","1529431638858","1529430713924","1529431007459"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","31LVTDXBL8V6QIG1U1VX55K3JEGLR9","A1H72Y9Z5NJXDS","Approved","Tue Jun 19 16:02:35 PDT 2018","Tue Jun 19 17:20:14 PDT 2018","Tue Jun 19 18:20:14 PDT 2018","2018-06-20 01:21:00 UTC","","","4659","100% (1/1)","100% (1/1)","100% (1/1)","{}","90","100","90","90","100","65","80","90","90","60","100","1529453850568","1529453278977","1529453923232","1529453590263","1529453878365","1529453411857","1529453719925","1529453528047","1529453488983","1529453794884","1529453811173","70","10","60","60","60","30","40","25","20","30","50","1529453853445","1529453289274","1529453949126","1529453643743","1529453901101","1529453420649","1529453724159","1529453524896","1529453491216","1529453769255","1529453826910","1","-1","1","1","1","-1","1","-1","-1","1","1","10","19","87","51","53","55","70","71","72","81","82","42430","81347","103744","118775","34248","68678","77055","38576","70590","70472","29945","1529453836035","1529453278503","1529453914858","1529453589645","1529453877691","1529453378078","1529453719332","1529453532269","1529453488406","1529453794250","1529453808724","1529453829564","1529453274125","1529453906242","1529453533316","1529453871994","1529453355472","1529453652091","1529453494740","1529453424150","1529453729147","1529453799619","grapefruit","Banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529453863144","1529453293656","1529454007294","1529453640986","1529453896047","1529453407625","1529453697399","1529453520170","1529453429323","1529453766718","1529453824014"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","32UTUBMZ7HHM6GB6C8BDSZD1SO2VB8","A1U6A617Q95MTZ","Approved","Tue Jun 19 11:41:28 PDT 2018","Tue Jun 19 13:07:33 PDT 2018","Tue Jun 19 14:07:33 PDT 2018","2018-06-19 21:08:00 UTC","","","5165","100% (1/1)","100% (1/1)","100% (1/1)","{}","70","50","75","80","50","70","99","95","70","60","50","1529438650663","1529438119860","1529437949138","1529438379195","1529438693658","1529438588781","1529438823690","1529438756578","1529438004674","1529438553432","1529438180285","50","25","75","60","50","80","70","70","50","80","50","1529438653887","1529438069442","1529437952809","1529438383048","1529438697153","1529438590484","1529438809938","1529438759454","1529438006880","1529438559710","1529438182637","-1","-1","1","1","1","-1","-1","-1","-1","-1","1","10","19","87","51","53","55","70","71","72","81","82","39545","79366","98728","147762","62213","54077","72602","44026","61427","176338","116245","1529438649935","1529438065827","1529437948521","1529438259087","1529438693078","1529438587876","1529438805418","1529438755976","1529438004087","1529438552815","1529438179610","1529438617292","1529438043497","1529437883338","1529438239111","1529438656838","1529438563213","1529438763079","1529438719052","1529437982069","1529438386874","1529438122864","grapefruit","banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529438637930","1529438056683","1529437972333","1529438248896","1529438715203","1529438576881","1529438797780","1529438748132","1529437993261","1529438414180","1529438155110"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","33NF62TLXKNE8OF61WANOELXKV4KJW","A1AKX1C8GCVCTP","Approved","Tue Jun 19 10:38:22 PDT 2018","Tue Jun 19 11:23:30 PDT 2018","Tue Jun 19 12:23:30 PDT 2018","2018-06-19 19:24:00 UTC","","","2708","100% (2/2)","100% (1/1)","100% (1/1)","{}","60","75","50","60","50","50","50","50","50","60","60","1529432526927","1529430552614","1529430433286","1529432582542","1529432454199","1529430481582","1529430391527","1529432541686","1529432442022","1529432512966","1529432420855","60","60","50","60","50","50","50","50","50","60","60","1529432528314","1529430555110","1529430436223","1529432584120","1529432455504","1529430483982","1529430394471","1529432543217","1529432443498","1529432516543","1529432424030","1","1","-1","1","-1","1","1","1","1","1","-1","10","19","87","51","53","55","70","71","72","81","82","16252","111968","55140","36104","27223","46999","17725","21183","15663","42394","1821802","1529432526257","1529430552000","1529430431342","1529432580942","1529432453198","1529430475109","1529430390966","1529432538606","1529432440711","1529432512246","1529432420263","1529432519279","1529430500222","1529430398082","1529432556716","1529432449660","1529430453223","1529430380356","1529432535532","1529432433993","1529432476885","1529430612191","grapefruit","banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529432529257","1529430599198","1529430448006","1529432584913","1529432474271","1529430496022","1529430385231","1529432544280","1529432447335","1529432503958","1529432410271"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","34HJIJKLP6H2LHQXXT1QKL7VIWLV42","AVJUIF9QHQRY8","Approved","Tue Jun 19 10:38:28 PDT 2018","Tue Jun 19 12:04:20 PDT 2018","Tue Jun 19 13:04:20 PDT 2018","2018-06-19 20:05:00 UTC","","","5152","100% (2/2)","100% (1/1)","100% (1/1)","{}","60","70","50","60","50","65","50","70","60","75","50","1529434775320","1529434937978","1529434650782","1529434540089","1529430908673","1529431110025","1529434233608","1529430699800","1529434856592","1529432720630","1529434475229","60","30","60","60","50","60","40","20","40","60","40","1529434777707","1529434944385","1529434654469","1529434609888","1529430810980","1529431119238","1529434236304","1529430704082","1529434859373","1529432723940","1529434477621","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","10","19","87","51","53","55","70","71","72","81","82","90939","172422","89151","142002","175471","328221","1611675","99877","62981","1475317","150956","1529434805860","1529434936239","1529434649746","1529434539364","1529430795517","1529431108669","1529434203443","1529430698894","1529434851049","1529432720364","1529434474134","1529434724909","1529434878829","1529434635757","1529434493755","1529430752115","1529430927586","1529432731124","1529430652238","1529434815848","1529431255807","1529434342799","grapefruit","Banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529434808773","1529435048553","1529434722268","1529434633307","1529430902004","1529431253050","1529434338439","1529430733400","1529434861411","1529432727827","1529434490440"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","34QN5IT0T0CNBHCJ6Z3EG4XAQM508N","A2FLOH4DM8A4ZS","Approved","Tue Jun 19 10:38:25 PDT 2018","Tue Jun 19 16:23:19 PDT 2018","Tue Jun 19 17:23:19 PDT 2018","2018-06-20 00:24:00 UTC","","","20694","100% (1/1)","100% (1/1)","100% (1/1)","{}","90","75","50","100","99","75","100","99","100","50","100","1529450534370","1529450352305","1529446711217","1529446642602","1529450431066","1529450503394","1529450577089","1529450410082","1529450373233","1529449823337","1529447050738","90","50","50","50","10","50","80","50","1","50","1","1529450537612","1529450354218","1529446713234","1529446644450","1529450433194","1529450504466","1529450578170","1529450412233","1529450374433","1529449824683","1529447059641","-1","-1","-1","-1","-1","1","-1","-1","-1","1","-1","10","19","87","51","53","55","70","71","72","81","82","41031","540503","49542","76078","47055","45328","39433","26584","23742","2747144","364385","1529450524911","1529450347889","1529446694832","1529446641593","1529450430496","1529450502785","1529450572457","1529450400464","1529450372752","1529449815001","1529447050000","1529450510737","1529449827521","1529446666449","1529446590371","1529450418353","1529450465408","1529450551768","1529450391768","1529450368024","1529447080377","1529446715992","grapefruit","Banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529450538275","1529450364738","1529446708264","1529446664265","1529450463409","1529450505002","1529450580338","1529450414195","1529450388721","1529449825035","1529447077554"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","352YTHGROWYX3GVDS4KM5KGMAHB4HM","A2FL477TMKC91L","Approved","Tue Jun 19 10:38:21 PDT 2018","Tue Jun 19 10:52:08 PDT 2018","Tue Jun 19 11:52:08 PDT 2018","2018-06-19 18:53:00 UTC","","","827","100% (1/1)","100% (1/1)","100% (1/1)","{}","75","90","90","90","75","100","80","70","80","95","80","1529430497533","1529430653114","1529430075633","1529430120142","1529430376088","1529430587325","1529430689402","1529430176044","1529430542545","1529430240775","1529430299060","35","20","70","80","60","10","70","40","40","75","70","1529430503121","1529430658603","1529430079971","1529430123966","1529430379134","1529430596305","1529430694820","1529430180405","1529430554642","1529430251786","1529430303277","-1","-1","1","1","-1","-1","1","-1","-1","1","1","10","19","87","51","53","55","70","71","72","81","82","79826","62114","155817","38173","97320","40008","59329","55527","48241","66074","73426","1529430453348","1529430652426","1529430070864","1529430118993","1529430352313","1529430566952","1529430684572","1529430174691","1529430530727","1529430240101","1529430291866","1529430432820","1529430600898","1529429946479","1529430102296","1529430335499","1529430560889","1529430663012","1529430140470","1529430512647","1529430195998","1529430262073","grapefruit","banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529430509812","1529430625355","1529430086914","1529430137081","1529430424218","1529430575987","1529430719180","1529430192290","1529430557913","1529430259296","1529430314320"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","35LDD5557BP49WLR4TNF46DEOPZKM0","AKZ8SFOAI4RZN","Approved","Tue Jun 19 10:38:24 PDT 2018","Tue Jun 19 11:13:03 PDT 2018","Tue Jun 19 12:13:03 PDT 2018","2018-06-19 19:14:00 UTC","","","2079","100% (1/1)","100% (1/1)","100% (1/1)","{}","80","55","60","75","75","70","70","68","60","65","85","1529431745328","1529431968743","1529431569023","1529431255967","1529431831105","1529431134432","1529431680920","1529431881927","1529431439184","1529430995560","1529431323007","25","50","55","70","65","70","65","25","35","30","15","1529431748638","1529431965457","1529431575889","1529431259431","1529431834368","1529431139000","1529431694288","1529431897592","1529431447207","1529430925000","1529431362023","-1","1","1","1","1","1","-1","-1","-1","-1","-1","10","19","87","51","53","55","70","71","72","81","82","58496","76872","124631","109658","92711","151508","116953","52512","84378","225432","100619","1529431744199","1529431971111","1529431568166","1529431255198","1529431829879","1529431133718","1529431680294","1529431881414","1529431437863","1529430917367","1529431322334","1529431699463","1529431903183","1529431457879","1529431163222","1529431757959","1529431011714","1529431582510","1529431850671","1529431373501","1529430786282","1529431272882","grapefruit","Banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529431754151","1529431964151","1529431574194","1529431263143","1529431846655","1529431070559","1529431642430","1529431894271","1529431445775","1529430987776","1529431358695"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","35USIKEBNS13SZL2EQ8E72XWSKPN6Y","A36SM7QM8OK3H6","Approved","Tue Jun 19 10:38:25 PDT 2018","Tue Jun 19 16:16:23 PDT 2018","Tue Jun 19 17:16:23 PDT 2018","2018-06-20 00:17:00 UTC","","","20278","100% (1/1)","100% (1/1)","100% (1/1)","{}","99","50","95","90","50","90","50","80","66","50","75","1529449770341","1529449973191","1529449747435","1529449714250","1529449845363","1529450176556","1529449705999","1529450099123","1529450078718","1529449856716","1529449631881","40","50","70","66","80","50","25","70","30","50","25","1529449771464","1529449974513","1529449749313","1529449715455","1529449847001","1529450181306","1529449699122","1529450100456","1529450081034","1529449871378","1529449634055","1","1","1","1","1","-1","1","-1","-1","1","-1","10","19","87","51","53","55","70","71","72","81","82","30998","24375","29657","15164","66976","74624","65658","17567","114844","102058","78754","1529449768909","1529449971009","1529449746557","1529449713896","1529449844623","1529450176312","1529449696468","1529450098853","1529450077999","1529449855525","1529449620443","1529449752218","1529449952250","1529449722561","1529449707397","1529449783216","1529450109038","1529449641739","1529450091469","1529449976625","1529449850192","1529449562985","grapefruit","banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529449780907","1529449975281","1529449750752","1529449720839","1529449848481","1529450182354","1529449699945","1529450108315","1529450090818","1529449950779","1529449636598"
"308KJXFUJRRZOU5VBX617M9NUAXATO","3MID1PD49GFHHGQUCLTH9ZC5OKGKWZ","Is this news real or fake? (<10 minutes; earn 3x your reward by bonuses!)","Tell us if you think these news pieces are real or fake.","experiment, game, fact-checking","$2.00","Tue Jun 19 10:38:13 PDT 2018","50","BatchId:3274304;OriginalHitTemplateId:920937336;","21600","3600","Tue Jun 26 10:38:13 PDT 2018","","","37TD41K0AIUPOTM8WD23SWZCB58SC7","A96EW0W9DVLJ6","Approved","Tue Jun 19 10:38:26 PDT 2018","Tue Jun 19 11:51:50 PDT 2018","Tue Jun 19 12:51:50 PDT 2018","2018-06-19 19:52:00 UTC","","","4404","100% (1/1)","100% (1/1)","100% (1/1)","{}","80","90","70","60","80","90","75","75","60","75","60","1529434052019","1529433045881","1529434211723","1529434147003","1529434284235","1529433540024","1529433860773","1529434253145","1529433976861","1529433402558","1529433705263","60","80","80","60","90","80","80","90","80","60","40","1529434055118","1529433041294","1529434214604","1529434150054","1529434288253","1529433541866","1529433864443","1529434255164","1529433985300","1529433406836","1529433713185","-1","1","-1","1","1","1","1","1","-1","1","1","10","19","87","51","53","55","70","71","72","81","82","70020","270904","68170","94606","41474","103940","149267","36872","115563","374874","172545","1529434051104","1529433027524","1529434210874","1529434074730","1529434264737","1529433539278","1529433859862","1529434251865","1529433956641","1529433400903","1529433694956","1529433988871","1529432801776","1529434153498","1529434058892","1529434258543","1529433447554","1529433724040","1529434221669","1529433873308","1529433072679","1529433551495","grapefruit","Banana","kiwi","mango","avocado","blackberry","olive","blueberry","cherry","pear","pineapple","1529434043829","1529433055336","1529434185353","1529434143945","1529434281009","1529433547349","1529433871318","1529434245078","1529433924799","1529433437614","1529433673299"
